,date,hour_of_day,D_wait_time,EE_wait_time,KS_wait_time
6480,2016-07-14,12.0,41.25,43.75,20.62
6481,2016-07-14,13.0,12.86,32.86,43.57
6482,2016-07-14,14.0,25.56,31.67,45.0
6483,2016-07-14,15.0,41.11,29.44,31.67
6484,2016-07-14,16.0,20.0,23.12,11.88
6485,2016-07-14,17.0,17.5,23.12,10.0
6486,2016-07-14,18.0,10.0,17.22,13.64
6487,2016-07-14,19.0,10.0,21.88,25.56
6488,2016-07-14,20.0,18.75,15.56,38.33
6489,2016-07-14,21.0,18.89,17.0,36.67
6490,2016-07-14,22.0,10.0,6.11,20.0
6493,2016-07-15,9.0,8.89,7.78,8.33
6494,2016-07-15,10.0,10.0,28.12,10.0
6495,2016-07-15,11.0,20.0,30.0,12.14
6496,2016-07-15,12.0,31.25,30.0,25.62
6497,2016-07-15,13.0,14.44,33.89,36.11
6498,2016-07-15,14.0,27.78,25.0,20.0
6499,2016-07-15,15.0,17.78,28.89,10.0
6500,2016-07-15,16.0,10.0,20.62,10.0
6501,2016-07-15,17.0,10.0,14.44,10.0
6502,2016-07-15,18.0,23.75,8.89,10.0
6503,2016-07-15,19.0,10.0,25.0,10.0
6504,2016-07-15,20.0,10.0,10.0,10.0
6505,2016-07-15,21.0,10.0,13.33,10.0
6506,2016-07-15,22.0,10.0,8.12,10.0
6510,2016-07-16,9.0,10.0,15.62,10.0
6511,2016-07-16,10.0,28.89,,14.44
6512,2016-07-16,11.0,38.75,39.29,45.0
6513,2016-07-16,12.0,32.86,60.71,44.29
6514,2016-07-16,13.0,35.71,55.0,12.86
6515,2016-07-16,14.0,31.11,53.33,20.0
6516,2016-07-16,15.0,27.5,30.62,20.0
6517,2016-07-16,16.0,35.71,32.14,10.0
6518,2016-07-16,17.0,13.75,31.25,10.0
6519,2016-07-16,18.0,10.0,21.25,10.0
6520,2016-07-16,19.0,10.0,25.56,29.0
6521,2016-07-16,20.0,12.5,23.33,55.71
6522,2016-07-16,21.0,10.0,25.0,15.83
6523,2016-07-16,22.0,10.0,5.0,10.0
6525,2016-07-17,9.0,8.12,10.62,10.0
6526,2016-07-17,10.0,17.5,26.25,30.62
6527,2016-07-17,11.0,43.12,38.0,58.12
6528,2016-07-17,12.0,47.78,25.83,60.0
6529,2016-07-17,13.0,30.0,41.25,41.88
6530,2016-07-17,14.0,32.86,55.0,35.0
6531,2016-07-17,15.0,57.5,45.0,35.0
6532,2016-07-17,16.0,45.0,27.0,30.0
6533,2016-07-17,17.0,21.67,39.29,18.33
6534,2016-07-17,18.0,10.0,21.67,25.0
6535,2016-07-17,19.0,15.0,27.5,15.62
6536,2016-07-17,20.0,18.33,17.5,31.67
6537,2016-07-17,21.0,12.86,18.57,22.86
6538,2016-07-17,22.0,11.11,14.44,10.0
6542,2016-07-18,9.0,31.11,23.57,16.67
6543,2016-07-18,10.0,43.89,41.11,38.33
6544,2016-07-18,11.0,40.0,40.56,70.56
6545,2016-07-18,12.0,52.22,33.89,27.22
6546,2016-07-18,13.0,35.56,35.83,31.11
6547,2016-07-18,14.0,36.25,,35.0
6548,2016-07-18,15.0,45.0,41.43,13.75
6549,2016-07-18,16.0,22.86,43.12,21.25
6550,2016-07-18,17.0,11.67,38.12,10.0
6551,2016-07-18,18.0,14.44,20.0,10.0
6552,2016-07-18,19.0,20.0,17.78,12.0
6553,2016-07-18,20.0,17.0,16.11,10.0
6554,2016-07-18,21.0,10.0,19.38,12.5
6555,2016-07-18,22.0,10.0,5.0,10.0
6558,2016-07-19,9.0,10.0,14.44,23.33
6559,2016-07-19,10.0,12.5,28.75,38.75
6560,2016-07-19,11.0,35.0,45.0,76.43
6561,2016-07-19,12.0,51.25,23.12,75.62
6562,2016-07-19,13.0,43.33,34.29,90.0
6563,2016-07-19,14.0,33.33,,55.0
6564,2016-07-19,15.0,47.78,,62.22
6565,2016-07-19,16.0,37.78,37.86,90.0
6566,2016-07-19,17.0,10.0,37.78,55.56
6567,2016-07-19,18.0,10.0,29.17,11.25
6568,2016-07-19,19.0,14.44,,18.89
6569,2016-07-19,20.0,10.0,,30.0
6570,2016-07-19,21.0,10.0,25.0,11.25
6571,2016-07-19,22.0,10.0,13.5,20.0
6574,2016-07-20,9.0,8.75,13.12,11.88
6575,2016-07-20,10.0,10.0,27.22,34.5
6576,2016-07-20,11.0,18.89,33.89,53.33
6577,2016-07-20,12.0,46.67,25.83,64.17
6578,2016-07-20,13.0,40.0,48.33,64.17
6579,2016-07-20,14.0,26.67,44.44,53.33
6580,2016-07-20,15.0,20.0,42.5,30.0
6581,2016-07-20,16.0,13.57,41.25,22.86
6582,2016-07-20,17.0,21.25,24.38,20.0
6583,2016-07-20,18.0,11.11,27.86,16.25
6584,2016-07-20,19.0,10.0,24.0,11.11
6585,2016-07-20,20.0,10.0,20.0,10.0
6586,2016-07-20,21.0,10.0,17.5,10.0
6587,2016-07-20,22.0,10.0,10.62,10.0
6590,2016-07-21,9.0,8.12,11.43,16.0
6591,2016-07-21,10.0,10.0,30.0,56.0
6592,2016-07-21,11.0,28.33,27.14,75.0
6593,2016-07-21,12.0,35.0,43.33,32.5
6594,2016-07-21,13.0,24.29,50.0,31.25
6595,2016-07-21,14.0,41.67,28.57,45.71
6596,2016-07-21,15.0,46.67,43.33,23.33
6597,2016-07-21,16.0,24.44,,10.56
6598,2016-07-21,17.0,11.25,32.5,13.75
6599,2016-07-21,18.0,10.0,40.62,10.0
6600,2016-07-21,19.0,10.0,28.75,10.0
6601,2016-07-21,20.0,12.22,21.11,11.11
6602,2016-07-21,21.0,13.33,21.11,12.22
6603,2016-07-21,22.0,10.0,10.56,10.0
6605,2016-07-22,9.0,7.78,9.44,12.78
6606,2016-07-22,10.0,10.0,20.0,26.43
6607,2016-07-22,11.0,20.0,39.29,35.0
6608,2016-07-22,12.0,37.78,38.5,25.56
6609,2016-07-22,13.0,21.25,28.12,21.25
6610,2016-07-22,14.0,13.33,26.67,26.67
6611,2016-07-22,15.0,27.86,21.43,27.86
6612,2016-07-22,16.0,13.75,18.33,20.0
6613,2016-07-22,17.0,11.11,14.38,10.0
6614,2016-07-22,18.0,10.0,18.5,10.0
6615,2016-07-22,19.0,11.11,16.88,10.0
6616,2016-07-22,20.0,10.0,15.62,11.43
6617,2016-07-22,21.0,8.89,13.89,24.44
6618,2016-07-22,22.0,10.0,8.75,12.5
6622,2016-07-23,9.0,10.0,10.45,10.0
6623,2016-07-23,10.0,21.25,27.86,11.43
6624,2016-07-23,11.0,31.11,40.0,11.11
6625,2016-07-23,12.0,57.27,36.11,11.0
6626,2016-07-23,13.0,35.0,35.0,10.0
6627,2016-07-23,14.0,26.25,30.0,16.25
6628,2016-07-23,15.0,27.78,34.44,10.0
6629,2016-07-23,16.0,12.22,30.0,10.0
6630,2016-07-23,17.0,11.25,30.62,10.0
6631,2016-07-23,18.0,14.29,29.29,10.0
6632,2016-07-23,19.0,20.0,23.33,15.56
6633,2016-07-23,20.0,15.56,24.44,45.56
6634,2016-07-23,21.0,34.29,5.0,61.88
6635,2016-07-23,22.0,27.78,5.0,11.67
6638,2016-07-24,9.0,5.0,21.11,12.78
6639,2016-07-24,10.0,16.25,38.89,12.22
6640,2016-07-24,11.0,42.14,49.44,10.0
6641,2016-07-24,12.0,38.75,36.25,10.0
6642,2016-07-24,13.0,62.22,28.89,10.0
6643,2016-07-24,14.0,46.25,38.12,11.25
6644,2016-07-24,15.0,46.67,36.67,10.0
6645,2016-07-24,16.0,18.75,30.0,10.0
6646,2016-07-24,17.0,21.67,35.71,10.0
6647,2016-07-24,18.0,30.0,23.33,12.5
6648,2016-07-24,19.0,38.89,21.67,19.0
6649,2016-07-24,20.0,46.11,20.56,35.56
6650,2016-07-24,21.0,14.44,20.5,36.67
6651,2016-07-24,22.0,10.0,10.0,23.33
22390,2016-07-25,9.0,,30.5,12.22
22391,2016-07-25,10.0,,36.67,33.75
22392,2016-07-25,11.0,,41.67,56.67
22393,2016-07-25,12.0,,61.25,62.5
22394,2016-07-25,13.0,,37.5,48.33
22395,2016-07-25,14.0,,60.62,45.0
22396,2016-07-25,15.0,,36.67,27.78
22397,2016-07-25,16.0,,38.12,10.0
22398,2016-07-25,17.0,,39.17,10.0
22399,2016-07-25,18.0,,29.38,10.0
22400,2016-07-25,19.0,,26.88,12.22
22401,2016-07-25,20.0,,13.75,20.0
22402,2016-07-25,21.0,,19.38,26.25
22403,2016-07-25,22.0,,5.71,12.86
22406,2016-07-26,9.0,,18.75,11.11
22407,2016-07-26,10.0,,31.67,37.0
22408,2016-07-26,11.0,,54.29,64.29
22409,2016-07-26,12.0,,36.67,81.25
22410,2016-07-26,13.0,,39.38,83.75
22411,2016-07-26,14.0,,34.29,61.43
22412,2016-07-26,15.0,,46.11,49.38
22413,2016-07-26,16.0,,33.75,28.89
22414,2016-07-26,17.0,,16.25,46.25
22415,2016-07-26,18.0,,21.25,26.25
22416,2016-07-26,19.0,,15.0,18.75
22417,2016-07-26,20.0,,21.11,17.22
22418,2016-07-26,21.0,,15.62,17.5
22419,2016-07-26,22.0,,6.43,11.43
22422,2016-07-27,9.0,,13.33,18.89
22423,2016-07-27,10.0,,27.5,22.5
22424,2016-07-27,11.0,,36.25,45.0
22425,2016-07-27,12.0,,42.14,36.43
22426,2016-07-27,13.0,,40.0,23.33
22427,2016-07-27,14.0,,43.89,26.11
22428,2016-07-27,15.0,,38.12,18.75
22429,2016-07-27,16.0,,29.17,10.0
22430,2016-07-27,17.0,,21.11,17.78
22431,2016-07-27,18.0,,13.89,13.33
22432,2016-07-27,19.0,,12.5,10.0
22433,2016-07-27,20.0,,15.0,16.67
22434,2016-07-27,21.0,,11.88,15.0
22435,2016-07-27,22.0,,5.71,10.0
22438,2016-07-28,9.0,,5.0,11.5
22439,2016-07-28,10.0,,24.0,30.0
22440,2016-07-28,11.0,,41.67,49.17
22441,2016-07-28,12.0,,52.86,28.57
22442,2016-07-28,13.0,,36.43,23.12
22443,2016-07-28,14.0,,41.43,16.25
22444,2016-07-28,15.0,,29.44,16.5
22445,2016-07-28,16.0,,25.0,16.25
22446,2016-07-28,17.0,,18.0,12.22
22447,2016-07-28,18.0,,13.57,14.29
22448,2016-07-28,19.0,,17.5,10.0
22449,2016-07-28,20.0,,15.83,20.83
22450,2016-07-28,21.0,,12.78,23.33
22451,2016-07-28,22.0,,7.14,12.86
22454,2016-07-29,9.0,,18.5,13.33
22455,2016-07-29,10.0,,23.57,31.43
22456,2016-07-29,11.0,,25.71,55.71
22457,2016-07-29,12.0,,38.57,43.57
22458,2016-07-29,13.0,,30.0,50.62
22459,2016-07-29,14.0,,30.0,63.33
22460,2016-07-29,15.0,,18.75,51.67
22461,2016-07-29,16.0,,18.57,32.86
22462,2016-07-29,17.0,,21.67,10.0
22463,2016-07-29,18.0,,19.0,10.0
22464,2016-07-29,19.0,,20.0,20.56
22465,2016-07-29,20.0,,12.5,39.38
22466,2016-07-29,21.0,,11.67,20.0
22467,2016-07-29,22.0,,5.83,20.0
22471,2016-07-30,9.0,,24.44,10.0
22472,2016-07-30,10.0,,34.17,12.0
22473,2016-07-30,11.0,,45.71,35.62
22474,2016-07-30,12.0,,49.29,10.0
22475,2016-07-30,13.0,,67.86,14.29
22476,2016-07-30,14.0,,43.33,12.22
22477,2016-07-30,15.0,,42.5,10.0
22478,2016-07-30,16.0,,45.0,10.0
22479,2016-07-30,17.0,,48.75,10.0
22480,2016-07-30,18.0,,40.0,10.0
22481,2016-07-30,19.0,,37.14,14.29
22482,2016-07-30,20.0,,23.12,45.0
22484,2016-07-30,21.0,,,45.0
22483,2016-07-30,22.0,,8.33,18.75
22486,2016-07-31,9.0,,12.5,12.5
22487,2016-07-31,10.0,,28.57,11.43
22488,2016-07-31,11.0,,27.5,12.0
22489,2016-07-31,12.0,,27.78,10.0
22490,2016-07-31,13.0,,31.67,11.67
22491,2016-07-31,14.0,,22.0,21.67
22492,2016-07-31,15.0,,24.17,10.0
22493,2016-07-31,16.0,,15.83,10.0
22494,2016-07-31,17.0,,15.0,10.0
22495,2016-07-31,18.0,,10.0,10.0
22496,2016-07-31,19.0,,12.92,14.44
22497,2016-07-31,20.0,,12.5,23.57
22498,2016-07-31,21.0,,8.33,23.5
22499,2016-07-31,22.0,,5.0,23.89
22503,2016-08-01,9.0,,15.45,13.33
22504,2016-08-01,10.0,,29.17,28.33
22505,2016-08-01,11.0,,35.0,28.89
22506,2016-08-01,12.0,,30.83,14.44
22507,2016-08-01,13.0,,25.0,10.83
22508,2016-08-01,14.0,,45.71,10.71
22509,2016-08-01,15.0,,45.0,13.75
22510,2016-08-01,16.0,,39.38,10.0
22511,2016-08-01,17.0,,21.67,9.0
22512,2016-08-01,18.0,,20.0,10.0
22513,2016-08-01,19.0,,18.5,11.67
22514,2016-08-01,20.0,,11.88,14.44
22515,2016-08-01,21.0,,11.43,30.0
22516,2016-08-01,22.0,,5.56,14.44
22518,2016-08-02,9.0,,10.0,11.11
22519,2016-08-02,10.0,,31.11,13.33
22520,2016-08-02,11.0,,36.25,27.5
22521,2016-08-02,12.0,,38.33,28.89
22522,2016-08-02,13.0,,29.44,16.67
22523,2016-08-02,14.0,,41.88,21.25
22524,2016-08-02,15.0,,45.62,22.5
22525,2016-08-02,16.0,,27.78,18.75
22526,2016-08-02,17.0,,25.56,24.44
22527,2016-08-02,18.0,,18.12,17.5
22528,2016-08-02,19.0,,24.17,20.83
22529,2016-08-02,20.0,,15.56,23.12
22530,2016-08-02,21.0,,11.67,23.0
22531,2016-08-02,22.0,,5.0,25.0
22533,2016-08-03,9.0,,15.71,10.0
22534,2016-08-03,10.0,,37.22,22.0
22535,2016-08-03,11.0,,43.12,35.0
22536,2016-08-03,12.0,,33.89,32.22
22537,2016-08-03,13.0,,24.17,29.29
22538,2016-08-03,14.0,,29.38,11.88
22539,2016-08-03,15.0,,28.12,10.0
22540,2016-08-03,16.0,,14.29,10.0
22541,2016-08-03,17.0,,17.5,12.5
22542,2016-08-03,18.0,,13.33,15.56
22543,2016-08-03,19.0,,13.75,14.38
22544,2016-08-03,20.0,,9.29,28.57
22545,2016-08-03,21.0,,10.0,13.33
22546,2016-08-03,22.0,,7.0,10.0
22548,2016-08-04,9.0,,13.33,8.89
22549,2016-08-04,10.0,,30.0,18.33
22550,2016-08-04,11.0,,29.17,43.33
22551,2016-08-04,12.0,,35.0,41.11
22552,2016-08-04,13.0,,40.83,17.5
22553,2016-08-04,14.0,,35.0,29.29
22554,2016-08-04,15.0,,35.83,22.0
22555,2016-08-04,16.0,,30.71,25.71
22556,2016-08-04,17.0,,18.75,18.57
22557,2016-08-04,18.0,,15.71,18.57
22558,2016-08-04,19.0,,17.5,11.67
22559,2016-08-04,20.0,,18.75,18.75
22560,2016-08-04,21.0,,15.0,12.14
22561,2016-08-04,22.0,,10.0,11.67
22563,2016-08-05,9.0,,11.88,9.44
22564,2016-08-05,10.0,,26.36,13.0
22565,2016-08-05,11.0,,25.56,38.75
22566,2016-08-05,12.0,,34.38,55.0
22567,2016-08-05,13.0,,28.12,31.25
22568,2016-08-05,14.0,,22.14,35.71
22569,2016-08-05,15.0,,24.44,27.78
22570,2016-08-05,16.0,,19.29,24.38
22571,2016-08-05,17.0,,16.0,30.0
22572,2016-08-05,18.0,,10.0,12.0
22573,2016-08-05,19.0,,11.88,25.0
22574,2016-08-05,20.0,,11.67,25.0
22575,2016-08-05,21.0,,8.89,16.25
22576,2016-08-05,22.0,,6.88,10.0
22579,2016-08-06,9.0,,30.0,8.0
22580,2016-08-06,10.0,,34.38,32.86
22581,2016-08-06,11.0,,40.71,55.71
22582,2016-08-06,12.0,,36.67,43.33
22583,2016-08-06,13.0,,36.11,37.78
22584,2016-08-06,14.0,,36.88,60.0
22585,2016-08-06,15.0,,34.0,56.0
22586,2016-08-06,16.0,,29.29,28.57
22587,2016-08-06,17.0,,22.14,30.0
22588,2016-08-06,18.0,,23.0,20.0
22589,2016-08-06,19.0,,25.0,27.78
22590,2016-08-06,20.0,,12.5,32.5
22591,2016-08-06,21.0,,15.0,45.0
22592,2016-08-06,22.0,,6.88,16.25
22594,2016-08-07,9.0,,9.0,8.75
22595,2016-08-07,10.0,,28.75,16.67
22596,2016-08-07,11.0,,32.14,11.43
22597,2016-08-07,12.0,,35.0,14.44
22598,2016-08-07,13.0,,28.12,10.0
22599,2016-08-07,14.0,,32.22,17.78
22600,2016-08-07,15.0,,23.0,10.0
22601,2016-08-07,16.0,,18.12,10.0
22602,2016-08-07,17.0,,16.11,10.0
22603,2016-08-07,18.0,,13.12,10.0
22604,2016-08-07,19.0,,14.38,21.11
22605,2016-08-07,20.0,,12.5,30.0
22606,2016-08-07,21.0,,6.43,27.14
22607,2016-08-07,22.0,,5.0,10.0
22611,2016-08-08,9.0,,15.0,10.0
22612,2016-08-08,10.0,,30.56,11.11
22613,2016-08-08,11.0,,27.5,26.25
22614,2016-08-08,12.0,,20.0,22.22
22615,2016-08-08,13.0,,45.56,13.33
22616,2016-08-08,14.0,,42.5,22.5
22617,2016-08-08,15.0,,31.67,33.33
22618,2016-08-08,16.0,,21.43,21.43
22619,2016-08-08,17.0,,32.78,25.56
22620,2016-08-08,18.0,,14.5,10.0
22621,2016-08-08,19.0,,20.0,12.0
22622,2016-08-08,20.0,,12.78,35.0
22623,2016-08-08,21.0,,11.11,45.0
22624,2016-08-08,22.0,,6.0,17.22
22627,2016-08-09,9.0,,7.78,8.89
22628,2016-08-09,10.0,,30.71,27.14
22629,2016-08-09,11.0,,46.67,42.22
22630,2016-08-09,12.0,,45.83,38.33
22631,2016-08-09,13.0,,36.67,41.67
22632,2016-08-09,14.0,,40.83,65.83
22633,2016-08-09,15.0,,34.29,57.14
22634,2016-08-09,16.0,,41.88,33.57
22635,2016-08-09,17.0,,20.0,38.33
22636,2016-08-09,18.0,,24.44,45.0
22637,2016-08-09,19.0,,20.56,36.11
22638,2016-08-09,20.0,,17.78,15.56
22639,2016-08-09,21.0,,13.75,10.0
22640,2016-08-09,22.0,,6.25,10.0
22643,2016-08-10,9.0,,10.0,8.75
22644,2016-08-10,10.0,,21.11,12.22
22645,2016-08-10,11.0,,30.0,16.11
22646,2016-08-10,12.0,,23.75,16.25
22647,2016-08-10,13.0,,25.0,10.0
22648,2016-08-10,14.0,,23.33,12.22
22649,2016-08-10,15.0,,20.0,10.0
22650,2016-08-10,16.0,,10.0,10.0
22651,2016-08-10,17.0,,13.33,10.0
22652,2016-08-10,18.0,,13.12,10.0
22653,2016-08-10,19.0,,12.78,10.56
22654,2016-08-10,20.0,,9.38,10.62
22655,2016-08-10,21.0,,7.78,10.0
22656,2016-08-10,22.0,,5.62,10.0
22659,2016-08-11,9.0,,10.83,8.89
22660,2016-08-11,10.0,,23.33,16.11
22661,2016-08-11,11.0,,30.0,21.11
22662,2016-08-11,12.0,,26.67,22.78
22663,2016-08-11,13.0,,48.12,16.25
22664,2016-08-11,14.0,,33.89,23.33
22665,2016-08-11,15.0,,28.75,20.0
22666,2016-08-11,16.0,,19.44,11.11
22672,2016-08-11,17.0,,,10.0
22667,2016-08-11,18.0,,16.25,10.0
22668,2016-08-11,19.0,,31.11,10.0
22669,2016-08-11,20.0,,13.89,15.0
22670,2016-08-11,21.0,,13.89,10.0
22671,2016-08-11,22.0,,10.0,10.0
22674,2016-08-12,9.0,,10.0,14.29
22675,2016-08-12,10.0,,32.22,10.0
22676,2016-08-12,11.0,,23.75,20.0
22677,2016-08-12,12.0,,33.75,20.0
22678,2016-08-12,13.0,,32.86,15.71
22679,2016-08-12,14.0,,29.38,20.0
22680,2016-08-12,15.0,,21.25,12.5
22681,2016-08-12,16.0,,19.0,10.0
22682,2016-08-12,17.0,,25.83,10.0
22683,2016-08-12,18.0,,20.62,11.25
22684,2016-08-12,19.0,,29.38,28.33
22685,2016-08-12,20.0,,13.89,61.0
22686,2016-08-12,21.0,,12.5,43.33
22687,2016-08-12,22.0,,5.0,10.0
22691,2016-08-13,9.0,,12.78,15.62
22692,2016-08-13,10.0,,37.14,27.86
22693,2016-08-13,11.0,,34.44,43.89
22694,2016-08-13,12.0,,38.75,29.38
22695,2016-08-13,13.0,,49.44,33.75
22696,2016-08-13,14.0,,32.14,35.71
22697,2016-08-13,15.0,,26.67,26.67
22698,2016-08-13,16.0,,32.22,15.0
22699,2016-08-13,17.0,,28.57,17.86
22700,2016-08-13,18.0,,19.44,32.78
22701,2016-08-13,19.0,,27.14,42.14
22702,2016-08-13,20.0,,21.88,78.12
22703,2016-08-13,21.0,,20.56,49.38
22704,2016-08-13,22.0,,8.33,21.25
22707,2016-08-14,9.0,,14.44,16.11
22708,2016-08-14,10.0,,24.38,16.67
22709,2016-08-14,11.0,,28.33,31.43
22710,2016-08-14,12.0,,24.29,21.43
22711,2016-08-14,13.0,,35.0,26.67
22712,2016-08-14,14.0,,35.0,37.5
22713,2016-08-14,15.0,,35.83,17.5
22714,2016-08-14,16.0,,27.14,16.25
22715,2016-08-14,17.0,,31.67,22.22
22716,2016-08-14,18.0,,26.67,18.75
22717,2016-08-14,19.0,,24.44,27.78
22718,2016-08-14,20.0,,13.75,49.38
22719,2016-08-14,21.0,,15.0,25.0
22720,2016-08-14,22.0,,8.89,10.0
22724,2016-08-15,9.0,,15.0,12.86
22725,2016-08-15,10.0,,26.88,31.25
22726,2016-08-15,11.0,,28.89,34.44
22727,2016-08-15,12.0,,35.0,46.25
22728,2016-08-15,13.0,,28.33,21.67
22729,2016-08-15,14.0,,33.33,37.78
22730,2016-08-15,15.0,,31.5,40.0
22731,2016-08-15,16.0,,28.75,13.75
22732,2016-08-15,17.0,,19.38,13.75
22733,2016-08-15,18.0,,14.29,10.71
22734,2016-08-15,19.0,,21.88,16.43
22735,2016-08-15,20.0,,21.5,23.33
22736,2016-08-15,21.0,,16.67,20.91
22737,2016-08-15,22.0,,6.25,13.12
22739,2016-08-16,9.0,,11.11,8.64
22740,2016-08-16,10.0,,30.0,10.0
22741,2016-08-16,11.0,,32.22,19.0
22742,2016-08-16,12.0,,32.5,20.0
22743,2016-08-16,13.0,,43.0,20.0
22751,2016-08-16,14.0,,,20.71
22752,2016-08-16,15.0,,,14.44
22744,2016-08-16,16.0,,34.29,10.0
22745,2016-08-16,17.0,,34.44,10.0
22746,2016-08-16,18.0,,18.12,10.0
22747,2016-08-16,19.0,,20.0,10.0
22748,2016-08-16,20.0,,17.0,27.5
22749,2016-08-16,21.0,,12.22,27.22
22750,2016-08-16,22.0,,5.0,10.0
22754,2016-08-17,9.0,,12.5,7.78
22755,2016-08-17,10.0,,27.0,22.5
22756,2016-08-17,11.0,,32.14,27.22
22757,2016-08-17,12.0,,30.0,26.67
22758,2016-08-17,13.0,,30.0,18.75
22759,2016-08-17,14.0,,30.71,10.0
22760,2016-08-17,15.0,,25.0,10.0
22761,2016-08-17,16.0,,12.5,10.0
22762,2016-08-17,17.0,,12.5,10.0
22763,2016-08-17,18.0,,11.67,10.0
22764,2016-08-17,19.0,,15.0,15.0
22765,2016-08-17,20.0,,11.67,23.57
22766,2016-08-17,21.0,,10.56,15.56
22767,2016-08-17,22.0,,6.5,10.0
22770,2016-08-18,9.0,,5.83,19.44
22771,2016-08-18,10.0,,21.0,52.78
22772,2016-08-18,11.0,,38.12,62.86
22773,2016-08-18,12.0,,35.0,59.38
22774,2016-08-18,13.0,,40.0,38.33
22775,2016-08-18,14.0,,50.0,45.0
22776,2016-08-18,15.0,,40.0,32.78
22777,2016-08-18,16.0,,45.0,55.0
22778,2016-08-18,17.0,,32.5,60.0
22779,2016-08-18,18.0,,22.22,60.0
22780,2016-08-18,19.0,,22.22,55.0
22781,2016-08-18,20.0,,22.22,50.0
22782,2016-08-18,21.0,,10.0,48.75
22783,2016-08-18,22.0,,5.71,17.5
22785,2016-08-19,9.0,,12.0,20.0
22786,2016-08-19,10.0,,28.89,58.33
22787,2016-08-19,11.0,,26.25,50.0
22788,2016-08-19,12.0,,31.43,60.71
22789,2016-08-19,13.0,,40.62,50.0
22790,2016-08-19,14.0,,26.67,28.89
22791,2016-08-19,15.0,,20.83,20.0
22792,2016-08-19,16.0,,21.11,15.0
22793,2016-08-19,17.0,,13.89,12.22
22794,2016-08-19,18.0,,17.5,15.56
22795,2016-08-19,19.0,,25.45,37.27
22796,2016-08-19,20.0,,16.88,63.57
22797,2016-08-19,21.0,,12.0,45.56
22798,2016-08-19,22.0,,10.0,12.22
22802,2016-08-20,9.0,,15.56,15.0
22803,2016-08-20,10.0,,30.0,43.33
22804,2016-08-20,11.0,,30.62,80.0
22805,2016-08-20,12.0,,30.0,61.25
22806,2016-08-20,13.0,,42.22,32.5
22807,2016-08-20,14.0,,30.62,48.75
22808,2016-08-20,15.0,,26.67,25.56
22809,2016-08-20,16.0,,27.5,32.5
22810,2016-08-20,17.0,,23.89,18.33
22811,2016-08-20,18.0,,24.5,23.5
22812,2016-08-20,19.0,,24.38,44.44
22813,2016-08-20,20.0,,20.0,54.38
22814,2016-08-20,21.0,,13.75,83.75
22815,2016-08-20,22.0,,5.56,28.33
22818,2016-08-21,9.0,,17.0,13.33
22819,2016-08-21,10.0,,27.78,39.5
22820,2016-08-21,11.0,,27.5,28.75
22821,2016-08-21,12.0,,38.75,30.0
22822,2016-08-21,13.0,,30.0,31.25
22823,2016-08-21,14.0,,45.0,37.78
22824,2016-08-21,15.0,,31.67,26.25
22825,2016-08-21,16.0,,19.5,25.56
22826,2016-08-21,17.0,,20.71,31.67
22827,2016-08-21,18.0,,21.67,25.71
22828,2016-08-21,19.0,,25.0,23.33
22829,2016-08-21,20.0,,15.45,54.5
22830,2016-08-21,21.0,,15.56,65.0
22831,2016-08-21,22.0,,5.0,20.62
22834,2016-08-22,9.0,,15.56,13.08
22835,2016-08-22,10.0,,30.56,30.71
22836,2016-08-22,11.0,,34.44,34.44
22837,2016-08-22,12.0,,30.0,13.33
22838,2016-08-22,13.0,,26.0,13.89
22839,2016-08-22,14.0,,25.0,22.5
22840,2016-08-22,15.0,,21.43,10.0
22841,2016-08-22,16.0,,16.25,10.62
22842,2016-08-22,17.0,,16.11,11.11
22843,2016-08-22,18.0,,13.33,10.0
22844,2016-08-22,19.0,,15.0,16.25
22845,2016-08-22,20.0,,19.44,20.62
22846,2016-08-22,21.0,,17.78,11.67
22847,2016-08-22,22.0,,7.78,10.0
22850,2016-08-23,9.0,,5.0,16.43
22851,2016-08-23,10.0,,19.0,51.11
22852,2016-08-23,11.0,,51.67,75.0
22853,2016-08-23,12.0,,54.29,40.71
22854,2016-08-23,13.0,,37.14,45.71
22855,2016-08-23,14.0,,22.5,63.57
22856,2016-08-23,15.0,,23.12,55.0
22857,2016-08-23,16.0,,20.0,31.25
22858,2016-08-23,17.0,,8.12,12.5
22859,2016-08-23,18.0,,12.0,20.0
22860,2016-08-23,19.0,,12.78,30.0
22861,2016-08-23,20.0,,10.56,61.11
22862,2016-08-23,21.0,,6.67,36.67
22863,2016-08-23,22.0,,5.0,11.25
22865,2016-08-24,9.0,,8.89,12.78
22866,2016-08-24,10.0,,17.22,10.91
22867,2016-08-24,11.0,,20.0,26.11
22868,2016-08-24,12.0,,22.5,36.11
22869,2016-08-24,13.0,,23.75,16.25
22870,2016-08-24,14.0,,27.78,11.67
22871,2016-08-24,15.0,,23.33,11.11
22872,2016-08-24,16.0,,10.0,10.0
22873,2016-08-24,17.0,,12.86,10.0
22874,2016-08-24,18.0,,10.0,10.0
22879,2016-08-24,19.0,,,13.33
22875,2016-08-24,20.0,,13.33,20.83
22876,2016-08-24,21.0,,14.29,10.0
22877,2016-08-24,22.0,,12.14,10.0
22881,2016-08-25,9.0,,8.75,17.22
22882,2016-08-25,10.0,,19.17,50.0
22883,2016-08-25,11.0,,29.38,47.5
22884,2016-08-25,12.0,,20.83,23.57
