date,hour_of_day,DT_wait_time,POC_wait_time,SM_wait_time
2015-01-24,21.0,58.46,13.0,
2015-01-24,22.0,55.0,16.25,
2015-01-25,9.0,58.85,5.0,
2015-01-25,10.0,68.75,11.25,
2015-01-25,11.0,71.67,22.92,
2015-01-25,12.0,70.0,37.5,
2015-01-25,13.0,85.38,32.31,
2015-01-25,14.0,90.0,35.77,
2015-01-25,15.0,109.17,24.17,
2015-01-25,16.0,108.33,37.5,
2015-01-25,17.0,102.5,31.54,
2015-01-25,18.0,55.83,20.77,
2015-01-25,19.0,66.92,12.5,
2015-01-25,20.0,58.33,5.83,
2015-01-26,9.0,57.5,5.0,
2015-01-26,10.0,54.17,10.0,
2015-01-26,11.0,58.33,10.38,
2015-01-26,12.0,77.5,10.0,
2015-01-26,13.0,82.5,20.77,
2015-01-26,14.0,77.5,24.17,
2015-01-26,15.0,70.0,15.77,
2015-01-26,16.0,90.0,20.42,
2015-01-26,17.0,74.0,19.58,
2015-01-26,18.0,54.17,10.0,
2015-01-26,19.0,69.17,5.0,
2015-01-26,20.0,50.0,5.0,
2015-01-27,9.0,65.0,5.0,
2015-01-27,10.0,72.67,13.08,
2015-01-27,11.0,74.17,34.62,
2015-01-27,12.0,90.0,36.25,
2015-01-27,13.0,106.15,46.88,
2015-01-27,14.0,136.43,,
2015-01-27,15.0,112.5,31.43,
2015-01-27,16.0,85.83,42.27,
2015-01-27,17.0,99.23,51.54,
2015-01-27,18.0,97.5,28.85,
2015-01-27,19.0,80.0,10.42,
2015-01-27,20.0,40.62,5.0,
2015-01-28,9.0,57.0,5.0,
2015-01-28,10.0,56.67,5.0,
2015-01-28,11.0,80.0,16.25,
2015-01-28,12.0,77.5,16.67,
2015-01-28,13.0,60.0,15.0,
2015-01-28,14.0,,15.0,
2015-01-28,15.0,70.0,10.0,
2015-01-28,16.0,80.0,30.0,
2015-01-28,17.0,80.0,25.0,
2015-01-28,18.0,40.0,,
2015-01-28,19.0,40.0,,
2015-01-29,9.0,68.33,,
2015-01-29,10.0,,30.0,
2015-01-29,11.0,76.0,25.0,
2015-01-29,12.0,84.17,25.77,
2015-01-29,13.0,82.08,18.48,
2015-01-29,14.0,63.08,18.54,
2015-01-29,15.0,76.67,13.08,
2015-01-29,16.0,94.44,21.96,
2015-01-29,17.0,73.21,19.79,
2015-01-29,18.0,93.08,16.0,
2015-01-29,19.0,59.17,12.5,
2015-01-30,9.0,71.25,5.0,
2015-01-30,10.0,90.0,5.0,
2015-01-30,11.0,83.33,34.17,
2015-01-30,12.0,80.0,26.39,
2015-01-30,13.0,90.77,40.36,
2015-01-30,14.0,96.67,38.75,
2015-01-30,15.0,94.17,36.67,
2015-01-30,16.0,101.92,,
2015-01-30,17.0,92.86,,
2015-01-30,18.0,71.54,,
2015-01-30,19.0,66.15,,
2015-01-30,20.0,49.23,,
2015-01-31,8.0,45.0,5.0,
2015-01-31,9.0,60.0,5.0,
2015-01-31,10.0,66.67,11.92,
2015-01-31,11.0,76.79,32.08,
2015-01-31,12.0,89.38,38.33,
2015-01-31,13.0,98.57,41.43,
2015-01-31,14.0,115.0,46.54,
2015-01-31,15.0,,41.25,
2015-01-31,16.0,120.0,49.62,
2015-01-31,17.0,116.67,46.25,
2015-01-31,18.0,135.62,40.42,
2015-01-31,19.0,145.38,38.08,
2015-01-31,20.0,133.08,25.42,10.0
2015-01-31,21.0,83.33,22.5,10.0
2015-01-31,22.0,75.83,17.08,7.08
2015-02-01,9.0,63.75,5.0,5.0
2015-02-01,10.0,73.64,10.38,12.92
2015-02-01,11.0,67.5,21.0,15.0
2015-02-01,12.0,75.0,30.0,
2015-02-01,13.0,105.83,35.0,25.0
2015-02-01,14.0,110.0,34.5,40.0
2015-02-01,15.0,87.0,17.14,25.5
2015-02-01,16.0,75.83,30.0,36.67
2015-02-01,17.0,87.5,25.77,23.75
2015-02-01,18.0,70.77,15.71,7.92
2015-02-01,19.0,63.33,13.33,5.0
2015-02-01,20.0,35.0,5.83,5.0
2015-02-01,21.0,37.86,5.0,5.0
2015-02-02,9.0,75.0,,
2015-02-02,10.0,,7.5,
2015-02-02,11.0,,27.5,
2015-02-02,13.0,70.0,,
2015-02-02,14.0,70.0,,
2015-02-02,15.0,70.0,,15.0
2015-02-02,17.0,,17.5,15.0
2015-02-02,18.0,80.0,,
2015-02-02,21.0,30.0,,5.0
2015-02-03,9.0,52.31,5.0,5.0
2015-02-03,10.0,,7.31,5.0
2015-02-03,11.0,63.46,23.08,12.31
2015-02-03,12.0,78.46,29.62,22.92
2015-02-03,13.0,106.15,30.0,30.42
2015-02-03,14.0,105.45,33.33,16.25
2015-02-03,15.0,80.83,23.5,19.23
2015-02-03,16.0,80.0,32.5,29.64
2015-02-03,17.0,99.17,30.0,13.33
2015-02-03,18.0,78.33,14.62,5.38
2015-02-03,19.0,52.31,5.0,5.0
2015-02-03,20.0,39.17,5.0,5.0
2015-02-04,9.0,57.69,5.0,5.0
2015-02-04,10.0,60.71,5.0,6.33
2015-02-04,11.0,68.33,9.0,15.36
2015-02-04,12.0,65.0,10.0,21.25
2015-02-04,13.0,55.83,15.38,21.25
2015-02-04,14.0,60.77,16.5,28.33
2015-02-04,15.0,68.33,10.0,17.92
2015-02-04,16.0,59.17,25.36,20.36
2015-02-04,17.0,62.31,20.42,8.75
2015-02-04,18.0,53.57,7.92,5.83
2015-02-04,19.0,49.0,5.0,5.0
2015-02-04,20.0,38.85,5.0,5.0
2015-02-05,9.0,45.0,5.5,5.0
2015-02-05,10.0,39.17,5.0,5.0
2015-02-05,11.0,48.18,5.0,5.0
2015-02-05,12.0,52.5,12.5,5.0
2015-02-05,13.0,55.71,18.33,7.0
2015-02-05,14.0,50.0,15.77,7.31
2015-02-05,15.0,44.23,7.08,7.5
2015-02-05,16.0,68.89,15.83,5.0
2015-02-05,17.0,69.17,14.23,6.25
2015-02-05,18.0,44.17,10.77,5.0
2015-02-05,19.0,55.83,5.0,5.0
2015-02-05,20.0,30.83,5.0,5.0
2015-02-06,9.0,56.0,5.0,5.0
2015-02-06,10.0,70.83,7.92,5.0
2015-02-06,11.0,65.0,29.62,15.83
2015-02-06,12.0,61.67,31.25,30.0
2015-02-06,13.0,103.85,42.92,47.08
2015-02-06,14.0,126.15,40.83,37.31
2015-02-06,15.0,105.0,36.15,37.5
2015-02-06,16.0,81.67,42.92,42.92
2015-02-06,17.0,105.0,34.58,32.31
2015-02-06,18.0,113.0,32.5,19.17
2015-02-06,19.0,84.17,22.08,5.0
2015-02-06,20.0,66.25,10.0,5.0
2015-02-06,21.0,39.29,5.83,5.0
2015-02-06,22.0,59.17,5.0,5.0
2015-02-07,8.0,45.0,5.0,5.0
2015-02-07,9.0,57.5,7.08,5.0
2015-02-07,10.0,70.0,11.67,5.0
2015-02-07,11.0,79.23,17.08,11.67
2015-02-07,12.0,75.83,37.5,30.77
2015-02-07,13.0,86.92,36.67,40.0
2015-02-07,14.0,108.33,37.5,38.08
2015-02-07,15.0,80.0,42.5,32.5
2015-02-07,16.0,76.67,39.64,43.33
